Iteration[106]: x = [0.150256, -2.282142] y = 9.795912
Iteration[107]: x = [0.150271, -2.282083] y = 9.795886
Iteration[108]: x = [0.150285, -2.282023] y = 9.795860
Iteration[109]: x = [0.150300, -2.281964] y = 9.795833
Iteration[110]: x = [0.150314, -2.281904] y = 9.795807
Iteration[111]: x = [0.150328, -2.281844] y = 9.795781
Iteration[112]: x = [0.150342, -2.281785] y = 9.795754
Iteration[113]: x = [0.150355, -2.281725] y = 9.795728
Iteration[114]: x = [0.150369, -2.281665] y = 9.795702
Iteration[115]: x = [0.150382, -2.281605] y = 9.795675
Iteration[116]: x = [0.150395, -2.281545] y = 9.795649
Iteration[117]: x = [0.150408, -2.281485] y = 9.795623
Iteration[118]: x = [0.150421, -2.281425] y = 9.795596
Iteration[119]: x = [0.150434, -2.281365] y = 9.795570
Iteration[120]: x = [0.150446, -2.281305] y = 9.795544
Iteration[121]: x = [0.150459, -2.281245] y = 9.795517
Iteration[122]: x = [0.150471, -2.281185] y = 9.795491
Iteration[123]: x = [0.150484, -2.281125] y = 9.795465
Iteration[124]: x = [0.150496, -2.281065] y = 9.795438
Iteration[125]: x = [0.150508, -2.281004] y = 9.795412
Iteration[126]: x = [0.150520, -2.280944] y = 9.795385
Iteration[127]: x = [0.150532, -2.280884] y = 9.795359
Iteration[128]: x = [0.150544, -2.280824] y = 9.795332
Iteration[129]: x = [0.150556, -2.280763] y = 9.795306
Iteration[130]: x = [0.150568, -2.280703] y = 9.795279
Iteration[131]: x = [0.150580, -2.280643] y = 9.795253
Iteration[132]: x = [0.150592, -2.280582] y = 9.795226
Iteration[133]: x = [0.150604, -2.280522] y = 9.795200
Iteration[134]: x = [0.150615, -2.280461] y = 9.795173
Iteration[135]: x = [0.150627, -2.280401] y = 9.795147
Iteration[136]: x = [0.150638, -2.280340] y = 9.795120
Iteration[137]: x = [0.150650, -2.280280] y = 9.795094
Iteration[138]: x = [0.150661, -2.280219] y = 9.795067
Iteration[139]: x = [0.150673, -2.280159] y = 9.795041
Iteration[140]: x = [0.150684, -2.280098] y = 9.795014
Iteration[141]: x = [0.150696, -2.280038] y = 9.794987
Iteration[142]: x = [0.150707, -2.279977] y = 9.794961
Iteration[143]: x = [0.150719, -2.279916] y = 9.794934
Iteration[144]: x = [0.150730, -2.279856] y = 9.794908
Iteration[145]: x = [0.150741, -2.279795] y = 9.794881
Iteration[146]: x = [0.150753, -2.279734] y = 9.794854
Iteration[147]: x = [0.150764, -2.279674] y = 9.794828
Iteration[148]: x = [0.150775, -2.279613] y = 9.794801
Iteration[149]: x = [0.150786, -2.279552] y = 9.794774
Iteration[150]: x = [0.150798, -2.279491] y = 9.794747
Iteration[151]: x = [0.150809, -2.279431] y = 9.794721
Iteration[152]: x = [0.150820, -2.279370] y = 9.794694
Iteration[153]: x = [0.150831, -2.279309] y = 9.794667
Iteration[154]: x = [0.150842, -2.279248] y = 9.794640
Iteration[155]: x = [0.150854, -2.279187] y = 9.794614
Iteration[156]: x = [0.150865, -2.279126] y = 9.794587
Iteration[157]: x = [0.150876, -2.279066] y = 9.794560
Iteration[158]: x = [0.150887, -2.279005] y = 9.794533
Iteration[159]: x = [0.150898, -2.278944] y = 9.794506
Iteration[160]: x = [0.150909, -2.278883] y = 9.794480
Iteration[161]: x = [0.150920, -2.278822] y = 9.794453
Iteration[162]: x = [0.150932, -2.278761] y = 9.794426
Iteration[163]: x = [0.150943, -2.278700] y = 9.794399
Iteration[164]: x = [0.150954, -2.278639] y = 9.794372
Iteration[165]: x = [0.150965, -2.278578] y = 9.794345
Iteration[166]: x = [0.150976, -2.278517] y = 9.794318
Iteration[167]: x = [0.150987, -2.278456] y = 9.794291
Iteration[168]: x = [0.150998, -2.278395] y = 9.794264
Iteration[169]: x = [0.151009, -2.278334] y = 9.794237
Iteration[170]: x = [0.151020, -2.278273] y = 9.794210
Iteration[171]: x = [0.151032, -2.278212] y = 9.794183
Iteration[172]: x = [0.151043, -2.278151] y = 9.794156
Iteration[173]: x = [0.151054, -2.278089] y = 9.794129
Iteration[174]: x = [0.151065, -2.278028] y = 9.794102
Iteration[175]: x = [0.151076, -2.277967] y = 9.794075
Iteration[176]: x = [0.151087, -2.277906] y = 9.794048
Iteration[177]: x = [0.151098, -2.277845] y = 9.794021
Iteration[178]: x = [0.151109, -2.277783] y = 9.793994
Iteration[179]: x = [0.151120, -2.277722] y = 9.793967
Iteration[180]: x = [0.151131, -2.277661] y = 9.793940
Iteration[181]: x = [0.151143, -2.277600] y = 9.793913
Iteration[182]: x = [0.151154, -2.277539] y = 9.793886
Iteration[183]: x = [0.151165, -2.277477] y = 9.793859
Iteration[184]: x = [0.151176, -2.277416] y = 9.793831
Iteration[185]: x = [0.151187, -2.277355] y = 9.793804
Iteration[186]: x = [0.151198, -2.277293] y = 9.793777
Iteration[187]: x = [0.151209, -2.277232] y = 9.793750
Iteration[188]: x = [0.151220, -2.277171] y = 9.793723
Iteration[189]: x = [0.151231, -2.277109] y = 9.793695
Iteration[190]: x = [0.151242, -2.277048] y = 9.793668
Iteration[191]: x = [0.151254, -2.276986] y = 9.793641
Iteration[192]: x = [0.151265, -2.276925] y = 9.793614
Iteration[193]: x = [0.151276, -2.276864] y = 9.793586
Iteration[194]: x = [0.151287, -2.276802] y = 9.793559
Iteration[195]: x = [0.151298, -2.276741] y = 9.793532
Iteration[196]: x = [0.151309, -2.276679] y = 9.793504
Iteration[197]: x = [0.151320, -2.276618] y = 9.793477
Iteration[198]: x = [0.151331, -2.276556] y = 9.793450
Iteration[199]: x = [0.151343, -2.276495] y = 9.793422
Iteration[200]: x = [0.151354, -2.276433] y = 9.793395
Iteration[201]: x = [0.151365, -2.276372] y = 9.793368
Iteration[202]: x = [0.151376, -2.276310] y = 9.793340
Iteration[203]: x = [0.151387, -2.276249] y = 9.793313
Iteration[204]: x = [0.151398, -2.276187] y = 9.793286
Iteration[205]: x = [0.151409, -2.276125] y = 9.793258
Iteration[206]: x = [0.151421, -2.276064] y = 9.793231
Iteration[207]: x = [0.151432, -2.276002] y = 9.793203
Iteration[208]: x = [0.151443, -2.275940] y = 9.793176
Iteration[209]: x = [0.151454, -2.275879] y = 9.793148
Iteration[210]: x = [0.151465, -2.275817] y = 9.793121
Iteration[211]: x = [0.151476, -2.275755] y = 9.793093
Iteration[212]: x = [0.151488, -2.275694] y = 9.793066
Iteration[213]: x = [0.151499, -2.275632] y = 9.793038
Iteration[214]: x = [0.151510, -2.275570] y = 9.793011
Iteration[215]: x = [0.151521, -2.275508] y = 9.792983
Iteration[216]: x = [0.151532, -2.275447] y = 9.792955
Iteration[217]: x = [0.151543, -2.275385] y = 9.792928
Iteration[218]: x = [0.151555, -2.275323] y = 9.792900
Iteration[219]: x = [0.151566, -2.275261] y = 9.792873
Iteration[220]: x = [0.151577, -2.275199] y = 9.792845
Iteration[221]: x = [0.151588, -2.275138] y = 9.792817
Iteration[222]: x = [0.151599, -2.275076] y = 9.792790
Iteration[223]: x = [0.151611, -2.275014] y = 9.792762
Iteration[224]: x = [0.151622, -2.274952] y = 9.792734
Iteration[225]: x = [0.151633, -2.274890] y = 9.792707
Iteration[226]: x = [0.151644, -2.274828] y = 9.792679
Iteration[227]: x = [0.151656, -2.274766] y = 9.792651
Iteration[228]: x = [0.151667, -2.274704] y = 9.792624
Iteration[229]: x = [0.151678, -2.274642] y = 9.792596
Iteration[230]: x = [0.151689, -2.274580] y = 9.792568
Iteration[231]: x = [0.151701, -2.274518] y = 9.792540
Iteration[232]: x = [0.151712, -2.274456] y = 9.792512
Iteration[233]: x = [0.151723, -2.274394] y = 9.792485
Iteration[234]: x = [0.151734, -2.274332] y = 9.792457
Iteration[235]: x = [0.151746, -2.274270] y = 9.792429
Iteration[236]: x = [0.151757, -2.274208] y = 9.792401
Iteration[237]: x = [0.151768, -2.274146] y = 9.792373
Iteration[238]: x = [0.151779, -2.274084] y = 9.792345
Iteration[239]: x = [0.151791, -2.274022] y = 9.792318
Iteration[240]: x = [0.151802, -2.273960] y = 9.792290
Iteration[241]: x = [0.151813, -2.273898] y = 9.792262
Iteration[242]: x = [0.151824, -2.273836] y = 9.792234
Iteration[243]: x = [0.151836, -2.273773] y = 9.792206
Iteration[244]: x = [0.151847, -2.273711] y = 9.792178
Iteration[245]: x = [0.151858, -2.273649] y = 9.792150
Iteration[246]: x = [0.151870, -2.273587] y = 9.792122
Iteration[247]: x = [0.151881, -2.273525] y = 9.792094
Iteration[248]: x = [0.151892, -2.273462] y = 9.792066
Iteration[249]: x = [0.151903, -2.273400] y = 9.792038
Iteration[250]: x = [0.151915, -2.273338] y = 9.792010
Iteration[251]: x = [0.151926, -2.273276] y = 9.791982
Iteration[252]: x = [0.151937, -2.273213] y = 9.791954
Iteration[253]: x = [0.151949, -2.273151] y = 9.791926
Iteration[254]: x = [0.151960, -2.273089] y = 9.791898
Iteration[255]: x = [0.151971, -2.273026] y = 9.791870
Iteration[256]: x = [0.151983, -2.272964] y = 9.791842
Iteration[257]: x = [0.151994, -2.272902] y = 9.791813
Iteration[258]: x = [0.152005, -2.272839] y = 9.791785
Iteration[259]: x = [0.152017, -2.272777] y = 9.791757
Iteration[260]: x = [0.152028, -2.272714] y = 9.791729
Iteration[261]: x = [0.152039, -2.272652] y = 9.791701
Iteration[262]: x = [0.152051, -2.272590] y = 9.791673
Iteration[263]: x = [0.152062, -2.272527] y = 9.791644
Iteration[264]: x = [0.152074, -2.272465] y = 9.791616
Iteration[265]: x = [0.152085, -2.272402] y = 9.791588
Iteration[266]: x = [0.152096, -2.272340] y = 9.791560
Iteration[267]: x = [0.152108, -2.272277] y = 9.791532
Iteration[268]: x = [0.152119, -2.272215] y = 9.791503
Iteration[269]: x = [0.152130, -2.272152] y = 9.791475
Iteration[270]: x = [0.152142, -2.272089] y = 9.791447
Iteration[271]: x = [0.152153, -2.272027] y = 9.791418
Iteration[272]: x = [0.152165, -2.271964] y = 9.791390
Iteration[273]: x = [0.152176, -2.271902] y = 9.791362
Iteration[274]: x = [0.152187, -2.271839] y = 9.791333
Iteration[275]: x = [0.152199, -2.271776] y = 9.791305
Iteration[276]: x = [0.152210, -2.271714] y = 9.791277
Iteration[277]: x = [0.152222, -2.271651] y = 9.791248
Iteration[278]: x = [0.152233, -2.271588] y = 9.791220
Iteration[279]: x = [0.152244, -2.271526] y = 9.791191
Iteration[280]: x = [0.152256, -2.271463] y = 9.791163
Iteration[281]: x = [0.152267, -2.271400] y = 9.791134
Iteration[282]: x = [0.152279, -2.271338] y = 9.791106
Iteration[283]: x = [0.152290, -2.271275] y = 9.791078
Iteration[284]: x = [0.152302, -2.271212] y = 9.791049
Iteration[285]: x = [0.152313, -2.271149] y = 9.791021
Iteration[286]: x = [0.152324, -2.271086] y = 9.790992
Iteration[287]: x = [0.152336, -2.271024] y = 9.790963
Iteration[288]: x = [0.152347, -2.270961] y = 9.790935
Iteration[289]: x = [0.152359, -2.270898] y = 9.790906
Iteration[290]: x = [0.152370, -2.270835] y = 9.790878
Iteration[291]: x = [0.152382, -2.270772] y = 9.790849
Iteration[292]: x = [0.152393, -2.270709] y = 9.790821
Iteration[293]: x = [0.152405, -2.270646] y = 9.790792
Iteration[294]: x = [0.152416, -2.270584] y = 9.790763
Iteration[295]: x = [0.152428, -2.270521] y = 9.790735
Iteration[296]: x = [0.152439, -2.270458] y = 9.790706
Iteration[297]: x = [0.152451, -2.270395] y = 9.790677
Iteration[298]: x = [0.152462, -2.270332] y = 9.790649
Iteration[299]: x = [0.152474, -2.270269] y = 9.790620
Iteration[300]: x = [0.152485, -2.270206] y = 9.790591
Iteration[301]: x = [0.152497, -2.270143] y = 9.790563
Iteration[302]: x = [0.152508, -2.270080] y = 9.790534
Iteration[303]: x = [0.152520, -2.270017] y = 9.790505
Iteration[304]: x = [0.152531, -2.269953] y = 9.790476
Iteration[305]: x = [0.152543, -2.269890] y = 9.790448
Iteration[306]: x = [0.152554, -2.269827] y = 9.790419
Iteration[307]: x = [0.152566, -2.269764] y = 9.790390
Iteration[308]: x = [0.152577, -2.269701] y = 9.790361
Iteration[309]: x = [0.152589, -2.269638] y = 9.790332
Iteration[310]: x = [0.152600, -2.269575] y = 9.790303
Iteration[311]: x = [0.152612, -2.269512] y = 9.790275
Iteration[312]: x = [0.152624, -2.269448] y = 9.790246
Iteration[313]: x = [0.152635, -2.269385] y = 9.790217
Iteration[314]: x = [0.152647, -2.269322] y = 9.790188
Iteration[315]: x = [0.152658, -2.269259] y = 9.790159
Iteration[316]: x = [0.152670, -2.269195] y = 9.790130
Iteration[317]: x = [0.152681, -2.269132] y = 9.790101
Iteration[318]: x = [0.152693, -2.269069] y = 9.790072
Iteration[319]: x = [0.152704, -2.269006] y = 9.790043
Iteration[320]: x = [0.152716, -2.268942] y = 9.790014
Iteration[321]: x = [0.152728, -2.268879] y = 9.789985
Iteration[322]: x = [0.152739, -2.268816] y = 9.789956
Iteration[323]: x = [0.152751, -2.268752] y = 9.789927
Iteration[324]: x = [0.152762, -2.268689] y = 9.789898
Iteration[325]: x = [0.152774, -2.268625] y = 9.789869
Iteration[326]: x = [0.152786, -2.268562] y = 9.789840
Iteration[327]: x = [0.152797, -2.268499] y = 9.789811
Iteration[328]: x = [0.152809, -2.268435] y = 9.789782
Iteration[329]: x = [0.152820, -2.268372] y = 9.789753
Iteration[330]: x = [0.152832, -2.268308] y = 9.789723
Iteration[331]: x = [0.152844, -2.268245] y = 9.789694
Iteration[332]: x = [0.152855, -2.268181] y = 9.789665
Iteration[333]: x = [0.152867, -2.268118] y = 9.789636
Iteration[334]: x = [0.152879, -2.268054] y = 9.789607
Iteration[335]: x = [0.152890, -2.267991] y = 9.789578
Iteration[336]: x = [0.152902, -2.267927] y = 9.789548
Iteration[337]: x = [0.152914, -2.267864] y = 9.789519
Iteration[338]: x = [0.152925, -2.267800] y = 9.789490
Iteration[339]: x = [0.152937, -2.267736] y = 9.789461
Iteration[340]: x = [0.152948, -2.267673] y = 9.789431
Iteration[341]: x = [0.152960, -2.267609] y = 9.789402
Iteration[342]: x = [0.152972, -2.267546] y = 9.789373
Iteration[343]: x = [0.152983, -2.267482] y = 9.789343
Iteration[344]: x = [0.152995, -2.267418] y = 9.789314
Iteration[345]: x = [0.153007, -2.267354] y = 9.789285
Iteration[346]: x = [0.153019, -2.267291] y = 9.789255
Iteration[347]: x = [0.153030, -2.267227] y = 9.789226
Iteration[348]: x = [0.153042, -2.267163] y = 9.789197
Iteration[349]: x = [0.153054, -2.267100] y = 9.789167
Iteration[350]: x = [0.153065, -2.267036] y = 9.789138
Iteration[351]: x = [0.153077, -2.266972] y = 9.789108
Iteration[352]: x = [0.153089, -2.266908] y = 9.789079
Iteration[353]: x = [0.153100, -2.266844] y = 9.789049
Iteration[354]: x = [0.153112, -2.266781] y = 9.789020
Iteration[355]: x = [0.153124, -2.266717] y = 9.788991
Iteration[356]: x = [0.153136, -2.266653] y = 9.788961
Iteration[357]: x = [0.153147, -2.266589] y = 9.788932
Iteration[358]: x = [0.153159, -2.266525] y = 9.788902
Iteration[359]: x = [0.153171, -2.266461] y = 9.788872
Iteration[360]: x = [0.153183, -2.266397] y = 9.788843
Iteration[361]: x = [0.153194, -2.266333] y = 9.788813
Iteration[362]: x = [0.153206, -2.266269] y = 9.788784
Iteration[363]: x = [0.153218, -2.266205] y = 9.788754
Iteration[364]: x = [0.153230, -2.266141] y = 9.788724
Iteration[365]: x = [0.153241, -2.266077] y = 9.788695
Iteration[366]: x = [0.153253, -2.266013] y = 9.788665
Iteration[367]: x = [0.153265, -2.265949] y = 9.788636
Iteration[368]: x = [0.153277, -2.265885] y = 9.788606
Iteration[369]: x = [0.153288, -2.265821] y = 9.788576
Iteration[370]: x = [0.153300, -2.265757] y = 9.788546
Iteration[371]: x = [0.153312, -2.265693] y = 9.788517
Iteration[372]: x = [0.153324, -2.265629] y = 9.788487
Iteration[373]: x = [0.153336, -2.265565] y = 9.788457
Iteration[374]: x = [0.153347, -2.265501] y = 9.788427
Iteration[375]: x = [0.153359, -2.265437] y = 9.788398
Iteration[376]: x = [0.153371, -2.265372] y = 9.788368
Iteration[377]: x = [0.153383, -2.265308] y = 9.788338
Iteration[378]: x = [0.153395, -2.265244] y = 9.788308
Iteration[379]: x = [0.153406, -2.265180] y = 9.788278
Iteration[380]: x = [0.153418, -2.265116] y = 9.788249
Iteration[381]: x = [0.153430, -2.265051] y = 9.788219
Iteration[382]: x = [0.153442, -2.264987] y = 9.788189
Iteration[383]: x = [0.153454, -2.264923] y = 9.788159
Iteration[384]: x = [0.153465, -2.264858] y = 9.788129
Iteration[385]: x = [0.153477, -2.264794] y = 9.788099
Iteration[386]: x = [0.153489, -2.264730] y = 9.788069
Iteration[387]: x = [0.153501, -2.264665] y = 9.788039
Iteration[388]: x = [0.153513, -2.264601] y = 9.788009
Iteration[389]: x = [0.153525, -2.264537] y = 9.787979
Iteration[390]: x = [0.153537, -2.264472] y = 9.787949
Iteration[391]: x = [0.153548, -2.264408] y = 9.787919
Iteration[392]: x = [0.153560, -2.264344] y = 9.787889
Iteration[393]: x = [0.153572, -2.264279] y = 9.787859
Iteration[394]: x = [0.153584, -2.264215] y = 9.787829
Iteration[395]: x = [0.153596, -2.264150] y = 9.787799
Iteration[396]: x = [0.153608, -2.264086] y = 9.787769
Iteration[397]: x = [0.153620, -2.264021] y = 9.787739
Iteration[398]: x = [0.153632, -2.263957] y = 9.787709
Iteration[399]: x = [0.153644, -2.263892] y = 9.787679
Iteration[400]: x = [0.153655, -2.263828] y = 9.787649
Iteration[401]: x = [0.153667, -2.263763] y = 9.787618
Iteration[402]: x = [0.153679, -2.263699] y = 9.787588
Iteration[403]: x = [0.153691, -2.263634] y = 9.787558
Iteration[404]: x = [0.153703, -2.263569] y = 9.787528
Iteration[405]: x = [0.153715, -2.263505] y = 9.787498
Iteration[406]: x = [0.153727, -2.263440] y = 9.787467
Iteration[407]: x = [0.153739, -2.263375] y = 9.787437
Iteration[408]: x = [0.153751, -2.263311] y = 9.787407
Iteration[409]: x = [0.153763, -2.263246] y = 9.787377
